"","Gene1","Gene2","Correlation"
"7","ATP6V0E1","C4orf3",0.58534699211872
"55","C17orf59","C4orf3",0.67982621117191
"66","C1orf198","C4orf3",0.679634685692009
"70","ADH5","C4orf3",0.631068030188545
"135","GSTO1","TSC22D1",0.566992064070396
"141","CLDN5","TSC22D1",0.663740308148024
"144","PTCRA","TSC22D1",0.599778998166875
"147","MMD","TSC22D1",0.707118826357864
"149","HIST1H2BJ","TSC22D1",0.786552422328328
"151","MAP3K7CL","TSC22D1",0.722954050204025
"156","SLC40A1","TSC22D1",0.882494519318702
"161","CCND3","TSC22D1",0.630140357904487
"162","PLA2G12A","TSC22D1",0.570928987768613
"168","RASGRP2","TSC22D1",0.638190686044811
"183","TMEM140","TSC22D1",0.581325052377612
"184","ESAM","TSC22D1",0.606773735429809
"190","CCNG1","TSC22D1",0.754971976439076
"195","HIST1H2AC","TSC22D1",0.631851615782824
"200","MPP1","TSC22D1",0.575382811120883
"207","FYB","TSC22D1",0.746787298251639
"209","SPOCD1","TSC22D1",0.621757464241566
"216","NFE2","TSC22D1",0.590288184055762
"221","ARHGAP6","TSC22D1",0.690090651529808
"234","GTPBP2","TSC22D1",0.593318106345844
"247","LINC01003","TSC22D1",0.6271338589796
"249","IDH2","TSC22D1",0.694231051546986
"251","BTK","TSC22D1",0.637554487955312
"255","NEXN","TSC22D1",0.618612244253448
"265","SIAH2","TSC22D1",0.642367410548546
"266","RAB27B","TSC22D1",0.642367410548546
"274","PCP2","TSC22D1",0.640120915356888
"282","AC137932.6","TSC22D1",0.623083084892127
"283","HEXIM2","TSC22D1",0.623083084892127
"290","RWDD1","TSC22D1",0.595834635281469
"567","LAMTOR1","VDAC3",0.582249056974994
"582","DIAPH1","VDAC3",0.765885797751327
"584","AP001189.4","VDAC3",0.634026368736929
"601","TBC1D15","VDAC3",0.739891369849021
"609","MFF","VDAC3",0.653454373974456
"620","GRN","VDAC3",0.700946958595123
"623","PSMA1","VDAC3",0.729161992539934
"624","STX4","VDAC3",0.729161992539934
"626","ARRDC3","VDAC3",0.744625764896615
"628","FN3KRP","VDAC3",0.744625764896615
"689","ACRBP","GSTO1",0.877538280699075
"697","CMTM5","GSTO1",0.670604630109735
"712","CLEC1B","GSTO1",0.786440306985831
"737","CCNG1","GSTO1",0.737045719003383
"739","GP1BA","GSTO1",0.58499798079451
"754","ACP1","GSTO1",0.651212524589941
"765","ARHGAP6","GSTO1",0.565185756316834
"797","BTK","GSTO1",0.625165462193039
"814","EGFL7","GSTO1",0.556716888068277
"832","AC137932.6","GSTO1",0.598811532552756
"1389","CA2","CLU",0.62187372308472
"1484","ACTB","CLU",0.840830849193852
"1535","B2M","CLU",0.917279067341525
"1581","CCL5","CLU",0.677762776964296
"1601","HIST1H2BJ","TALDO1",0.617853612294681
"1603","GABARAPL2","TALDO1",0.645190233284588
"1606","SRGN","TALDO1",0.620359144039101
"1607","ODC1","TALDO1",0.688207129220016
"1613","PLA2G12A","TALDO1",0.66326016264564
"1647","MPP1","TALDO1",0.772068129817282
"1705","PCNP","TALDO1",0.576551324138156
"1725","GNG11","TALDO1",0.565089690714963
"1726","SMS","TALDO1",0.61452147460826
"1755","ARID4B","TALDO1",0.577612499064353
"1756","SNX17","TALDO1",0.577612499064353
"1757","SNHG8","TALDO1",0.577612499064353
"1758","CNPY3","TALDO1",0.577612499064353
"1763","PRDX1","TALDO1",0.590541058165607
"1764","C3orf38","TALDO1",0.590541058165607
"1766","NSMAF","TALDO1",0.590541058165607
"1767","CCPG1","TALDO1",0.590541058165607
"1768","NFIC","TALDO1",0.590541058165607
"1769","KCNK6","TALDO1",0.590541058165607
"1825","RGS18","TALDO1",0.63709258018788
"1879","CST3","MT-CO2",0.601277748786427
"1891","CCND3","MT-CO2",0.564999269112374
"1899","HGD","MT-CO2",0.576544280814754
"1916","ITGB3","MT-CO2",0.580709407137014
"1918","C6orf25","MT-CO2",0.555143685629909
"1921","MPP1","MT-CO2",0.630158540177497
"2421","ACP1","ACRBP",0.746261209583339
"2477","ABCC3","ACRBP",0.624839072812677
"3259","CCNG1","CLDN5",0.791036233599937
"3314","BTK","CLDN5",0.573872928018268
"3324","ABCC3","CLDN5",0.674760347048546
"3348","AC137932.6","CLDN5",0.591408567331782
"3683","TALDO1","TUBB1",0.594112065305611
"3735","HIST1H2AC","TUBB1",0.740751977189433
"3737","ASAH1","TUBB1",0.815372021990022
"3740","MPP1","TUBB1",0.554070735177907
"3818","GNG11","TUBB1",0.591894711529669
"3859","SH3BGRL3","TUBB1",0.576693727447059
"3877","SDPR","TUBB1",0.598325958362239
"3922","CCL5","TUBB1",0.57011144984865
"3927","RGS18","TUBB1",0.596025767221058
"3933","OAZ1","TUBB1",0.648607169407859
"3979","C4orf3","CA2",0.556017539744891
"4170","B2M","CA2",0.66332066117526
"4358","CLU","UBB",0.641500447827104
"4392","LAMTOR1","UBB",0.75750898690885
"4398","LEPROT","UBB",0.625704987303423
"4407","GP9","UBB",0.567773995163661
